CYCLOSPORINE,Malignant melanoma,4
CYCLOSPORINE,Post transplant lymphoproliferative disorder,7
CYCLOSPORINE,Joint swelling,9
CYCLOSPORINE,Drug tolerance decreased,5
CYCLOSPORINE,Pruritus,5
CYCLOSPORINE,Basal cell carcinoma,5
CYCLOSPORINE,Febrile neutropenia,3
CYCLOSPORINE,Haemorrhoids,3
CYCLOSPORINE,Pericardial effusion,4
CYCLOSPORINE,Hypoxia,11
CYCLOSPORINE,Enterococcal infection,3
CYCLOSPORINE,Congenital aplasia,11
CYCLOSPORINE,Hypersensitivity,5
CYCLOSPORINE,Muscle rigidity,4
CYCLOSPORINE,Blood pressure increased,4
CYCLOSPORINE,Rash erythematous,11
CYCLOSPORINE,Clostridium difficile infection,5
CYCLOSPORINE,Disorientation,4
CYCLOSPORINE,Hyperkeratosis,4
CYCLOSPORINE,Cholangiocarcinoma,3
CYCLOSPORINE,Gingival disorder,2
CYCLOSPORINE,Drug ineffective,9
ERGOCALCIFEROL,Therapeutic product effect incomplete,2
ERGOCALCIFEROL,Adverse event,2
ERGOCALCIFEROL,Creatinine renal clearance increased,2
ERGOCALCIFEROL,Pneumonia,2
ERGOCALCIFEROL,Maternal exposure during pregnancy,2
ERGOCALCIFEROL,Insomnia,3
ERGOCALCIFEROL,Pericarditis,2
ERGOCALCIFEROL,Hepatitis,2
ERGOCALCIFEROL,Blood calcium decreased,2
ERGOCALCIFEROL,Alopecia,3
ERGOCALCIFEROL,Hypertension,2
ERGOCALCIFEROL,Joint swelling,5
ERGOCALCIFEROL,Weight increased,2
ERGOCALCIFEROL,Drug tolerance decreased,2
ERGOCALCIFEROL,Pruritus,3
ERGOCALCIFEROL,Night sweats,2
ERGOCALCIFEROL,Sinusitis,2
ERGOCALCIFEROL,Bladder disorder,2
ERGOCALCIFEROL,Overdose,2
ERGOCALCIFEROL,Basal cell carcinoma,2
ERGOCALCIFEROL,Musculoskeletal pain,2
ERGOCALCIFEROL,Hypersensitivity,3
ERGOCALCIFEROL,Dizziness,2
ERGOCALCIFEROL,Lower limb fracture,2
ERGOCALCIFEROL,Drug ineffective,2
ERGOCALCIFEROL,Muscle injury,2
ERGOCALCIFEROL,Inflammation,3
ERGOCALCIFEROL,C-reactive protein increased,2
